epoch,train_loss,val_loss,lr,best_val_loss,train_minutes,val_minutes,train_steps,val_steps
1,-0.01114804,-0.02759832,0.0010000000,-0.02759832,94.0140,3.5401,5296,605
2,-0.04011170,-0.04182424,0.0010000000,-0.04182424,98.4322,4.2868,5296,605
3,-0.05021808,-0.04922898,0.0010000000,-0.04922898,106.3495,4.3065,5296,605
4,-0.05680469,-0.05438427,0.0010000000,-0.05438427,106.2104,4.3547,5296,605
5,-0.06203257,-0.05976851,0.0010000000,-0.05976851,104.5901,4.2689,5296,605
6,-0.06565400,-0.06260227,0.0010000000,-0.06260227,103.6969,3.6312,5296,605
7,-0.06903889,-0.06550649,0.0010000000,-0.06550649,94.2845,3.7164,5296,605
8,-0.07131449,-0.06726475,0.0010000000,-0.06726475,94.9973,4.0468,5296,605
9,-0.07371004,-0.06904306,0.0010000000,-0.06904306,94.8970,3.7825,5296,605
10,-0.07524796,-0.07002166,0.0010000000,-0.07002166,94.7278,3.6932,5296,605
11,-0.07726253,-0.07150021,0.0010000000,-0.07150021,95.8733,3.7499,5296,605
12,-0.07898657,-0.07329240,0.0010000000,-0.07329240,95.0873,3.6632,5296,605
13,-0.08042228,-0.07353638,0.0010000000,-0.07353638,95.3588,3.6982,5296,605
14,-0.08126965,-0.07396957,0.0010000000,-0.07396957,93.5443,3.6359,5296,605
15,-0.08284645,-0.07733323,0.0010000000,-0.07733323,100.0436,4.2359,5296,605
16,-0.08388707,-0.07540649,0.0010000000,-0.07733323,105.4400,4.3431,5296,605
17,-0.08750386,-0.07891560,0.0005000000,-0.07891560,104.4703,4.2903,5296,605
18,-0.08879231,-0.07163739,0.0005000000,-0.07891560,105.2959,4.3922,5296,605
19,-0.09092485,-0.07971647,0.0002500000,-0.07971647,105.3838,4.3012,5296,605
20,-0.09165086,-0.07881213,0.0002500000,-0.07971647,105.7170,4.6553,5296,605
21,-0.09284767,-0.07980589,0.0001250000,-0.07980589,107.3616,4.5988,5296,605
22,-0.09323499,-0.07963635,0.0001250000,-0.07980589,109.1138,4.6686,5296,605
23,-0.09389050,-0.07988919,0.0000625000,-0.07988919,106.0023,4.2923,5296,605
24,-0.09408320,-0.07987333,0.0000625000,-0.07988919,108.3671,4.5664,5296,605
25,-0.09443037,-0.07975301,0.0000312500,-0.07988919,109.0400,4.6559,5296,605
26,-0.09462380,-0.07965644,0.0000156250,-0.07988919,107.9167,4.6693,5296,605
27,-0.09472301,-0.07969709,0.0000078125,-0.07988919,109.5134,4.5791,5296,605
28,-0.09477417,-0.07979822,0.0000039063,-0.07988919,109.3299,4.3751,5296,605
