epoch,train_loss,val_loss,lr,best_val_loss,train_minutes,val_minutes,train_steps,val_steps
1,-0.01140454,-0.03140246,0.0010000000,-0.03140246,96.4771,4.1221,5296,605
2,-0.04028065,-0.04207907,0.0010000000,-0.04207907,101.1715,4.1760,5296,605
3,-0.05097780,-0.05062098,0.0010000000,-0.05062098,101.0601,4.1881,5296,605
4,-0.05841609,-0.05496475,0.0010000000,-0.05496475,100.7346,4.1896,5296,605
5,-0.06378347,-0.06193780,0.0010000000,-0.06193780,96.5603,3.9074,5296,605
6,-0.06808528,-0.06672874,0.0010000000,-0.06672874,95.7939,3.9716,5296,605
7,-0.07112928,-0.06493494,0.0010000000,-0.06672874,97.6860,3.9032,5296,605
8,-0.07685843,-0.07339623,0.0005000000,-0.07339623,100.9222,4.2040,5296,605
9,-0.07954630,-0.07359337,0.0005000000,-0.07359337,101.3022,4.3155,5296,605
10,-0.08155177,-0.07177570,0.0005000000,-0.07359337,99.3284,3.9862,5296,605
11,-0.08467597,-0.07638330,0.0002500000,-0.07638330,97.8220,3.9622,5296,605
12,-0.08595844,-0.07717652,0.0002500000,-0.07717652,94.9998,3.9180,5296,605
13,-0.08696635,-0.07598686,0.0002500000,-0.07717652,98.5884,4.1665,5296,605
14,-0.08866648,-0.07683230,0.0001250000,-0.07717652,96.2904,3.8932,5296,605
15,-0.08967336,-0.07819487,0.0000625000,-0.07819487,99.7776,4.2934,5296,605
16,-0.09001453,-0.07752112,0.0000625000,-0.07819487,101.2949,4.1678,5296,605
17,-0.09051722,-0.07760659,0.0000312500,-0.07819487,100.9541,4.1713,5296,605
18,-0.09079108,-0.07774837,0.0000156250,-0.07819487,101.2984,4.1404,5296,605
19,-0.09093145,-0.07763883,0.0000078125,-0.07819487,101.1503,4.1199,5296,605
20,-0.09100173,-0.07764468,0.0000039063,-0.07819487,100.8762,3.9480,5296,605
