epoch,train_loss,val_loss,lr,best_val_loss,train_minutes,val_minutes,train_steps,val_steps
1,-0.00923095,-0.03134774,0.0010000000,-0.03134774,96.9664,3.9095,5296,605
2,-0.04185082,-0.04539579,0.0010000000,-0.04539579,101.3818,4.2766,5296,605
3,-0.05287343,-0.05311488,0.0010000000,-0.05311488,103.7031,4.0266,5296,605
4,-0.05990997,-0.05298043,0.0010000000,-0.05311488,97.6344,4.0258,5296,605
5,-0.06773242,-0.06540168,0.0005000000,-0.06540168,97.2104,3.9041,5296,605
6,-0.07133768,-0.06618251,0.0005000000,-0.06618251,96.6341,3.8234,5296,605
7,-0.07406708,-0.06911481,0.0005000000,-0.06911481,96.2281,3.9733,5296,605
8,-0.07628358,-0.06999986,0.0005000000,-0.06999986,97.8937,4.0347,5296,605
9,-0.07818464,-0.07036363,0.0005000000,-0.07036363,101.4392,4.1754,5296,605
10,-0.07977086,-0.07387371,0.0005000000,-0.07387371,100.9291,4.1884,5296,605
11,-0.08134766,-0.07382046,0.0005000000,-0.07387371,100.5608,4.0942,5296,605
12,-0.08450524,-0.07617911,0.0002500000,-0.07617911,101.5952,4.2664,5296,605
13,-0.08582865,-0.07728329,0.0002500000,-0.07728329,98.4472,4.1141,5296,605
14,-0.08679681,-0.07754181,0.0002500000,-0.07754181,98.6161,4.0714,5296,605
15,-0.08765333,-0.07849556,0.0002500000,-0.07849556,98.6144,4.2344,5296,605
16,-0.08844166,-0.07806996,0.0002500000,-0.07849556,99.2442,4.2617,5296,605
17,-0.09014243,-0.07925696,0.0001250000,-0.07925696,98.6340,3.9806,5296,605
18,-0.09073918,-0.07912967,0.0001250000,-0.07925696,97.8746,3.9105,5296,605
19,-0.09168533,-0.07971437,0.0000625000,-0.07971437,98.1089,3.9698,5296,605
20,-0.09199364,-0.08021776,0.0000625000,-0.08021776,100.3293,3.9602,5296,605
21,-0.09224404,-0.07958878,0.0000625000,-0.08021776,101.2097,4.0853,5296,605
22,-0.09275062,-0.07986590,0.0000312500,-0.08021776,100.0219,4.1165,5296,605
23,-0.09303833,-0.07970353,0.0000156250,-0.08021776,100.5584,4.2046,5296,605
24,-0.09318683,-0.07966700,0.0000078125,-0.08021776,101.0509,4.1810,5296,605
25,-0.09326303,-0.07976530,0.0000039063,-0.08021776,100.9449,4.2197,5296,605
